,mur1,mur2,mur3,mur4,mur5,mur6,mur7,mur8,mur9,mur10,mur11,mur12,mur13,mur14,mur15,mur16,mur17,mur18,mur19,mur20,mur21,mur22,mur23,mur24,mur25,mur26,mur27,mur28,mur29,mur30,mur31,mur32
mur1,1,0.490413179,0.499594923,0.499594923,0.51242236,0.484337024,0.505941129,0.503915744,0.50931677,0.509856873,0.501755334,0.505401026,0.500405077,0.510396975,0.500405077,0.499864974,0.49783959,0.506346206,0.506616257,0.502835539,0.484607075,0.491628409,0.50715636,0.492033486,0.503915744,0.505941129,0.503240616,0.488792871,0.511342155,0.503915744,0.499594923,0.491223332
mur2,0.490413179,1,0.497434513,0.497434513,0.499189846,0.503780718,0.494598974,0.494193897,0.496084256,0.49905482,0.504185795,0.500270051,0.502295436,0.506346206,0.502835539,0.49068323,0.51242236,0.496354307,0.50310559,0.499864974,0.500810154,0.512692412,0.511747232,0.496624359,0.504455847,0.495409128,0.496759384,0.512557386,0.505941129,0.497974615,0.519848771,0.511747232
mur3,0.499594923,0.497434513,1,0.556035647,0.549149338,0.555900621,0.56184175,0.556035647,0.551444775,0.561706724,0.563597083,0.539427491,0.551444775,0.565217391,0.560626519,0.562246827,0.549149338,0.560626519,0.549824467,0.549824467,0.549149338,0.565352417,0.55468539,0.555225493,0.558466109,0.552660005,0.547529031,0.556575749,0.549149338,0.552254928,0.560356468,0.550364569
mur4,0.499594923,0.497434513,0.556035647,1,0.566702674,0.560491493,0.554550365,0.543883338,0.551984877,0.565217391,0.547394005,0.556440724,0.544693492,0.558466109,0.553065082,0.559276262,0.556710775,0.563327032,0.555765595,0.557385903,0.545098569,0.55779098,0.551984877,0.564407237,0.558466109,0.557520929,0.562381853,0.562246827,0.538617337,0.552254928,0.560086416,0.553605185
mur5,0.51242236,0.499189846,0.549149338,0.566702674,1,0.56089657,0.559816365,0.552389954,0.554820416,0.558601134,0.565622468,0.551984877,0.549959492,0.561031596,0.562921955,0.553200108,0.556035647,0.565622468,0.549149338,0.553470159,0.549824467,0.550364569,0.555090467,0.551309749,0.562651904,0.553875236,0.547394005,0.556980826,0.564407237,0.56589252,0.572373751,0.54941939
mur6,0.484337024,0.503780718,0.555900621,0.560491493,0.56089657,1,0.549014313,0.554280313,0.543478261,0.558061032,0.550769646,0.551984877,0.546988928,0.563192006,0.555090467,0.560491493,0.564137186,0.552119903,0.546178774,0.55563057,0.566567648,0.563056981,0.557250878,0.556980826,0.544018363,0.56278693,0.556035647,0.552119903,0.555225493,0.551039698,0.554820416,0.556170672
mur7,0.505941129,0.494598974,0.56184175,0.554550365,0.559816365,0.549014313,1,0.554820416,0.553740211,0.554820416,0.552119903,0.554955442,0.548339184,0.550499595,0.559411288,0.557250878,0.551984877,0.546718877,0.566972725,0.544288415,0.555495544,0.551444775,0.55563057,0.553740211,0.554820416,0.563867135,0.553335134,0.561031596,0.555765595,0.553740211,0.558331083,0.556710775
mur8,0.503915744,0.494193897,0.556035647,0.543883338,0.552389954,0.554280313,0.554820416,1,0.550094518,0.564137186,0.553335134,0.551849851,0.539832568,0.562246827,0.55468539,0.560086416,0.551039698,0.561436673,0.564137186,0.551714826,0.555090467,0.552119903,0.55468539,0.547123954,0.561976776,0.555360518,0.552660005,0.547394005,0.549689441,0.561166622,0.554145288,0.565757494
mur9,0.50931677,0.496084256,0.551444775,0.551984877,0.554820416,0.543478261,0.553740211,0.550094518,1,0.558196057,0.554955442,0.551849851,0.558196057,0.557115852,0.564137186,0.555495544,0.555360518,0.545233594,0.560626519,0.552795031,0.561301647,0.556980826,0.559816365,0.552795031,0.56089657,0.562111801,0.556710775,0.554145288,0.546178774,0.545773697,0.546853902,0.555225493
mur10,0.509856873,0.49905482,0.561706724,0.565217391,0.558601134,0.558061032,0.554820416,0.564137186,0.558196057,1,0.565487443,0.556710775,0.552795031,0.557926006,0.573859033,0.554415339,0.548339184,0.559816365,0.564137186,0.564677289,0.55779098,0.557520929,0.551174723,0.565757494,0.566837699,0.553200108,0.555090467,0.569268161,0.545638671,0.564677289,0.554955442,0.553065082
mur11,0.501755334,0.504185795,0.563597083,0.547394005,0.565622468,0.550769646,0.552119903,0.553335134,0.554955442,0.565487443,1,0.558061032,0.553875236,0.555765595,0.563867135,0.548744261,0.548879287,0.555765595,0.555495544,0.554955442,0.555090467,0.551309749,0.556575749,0.54847421,0.553065082,0.547258979,0.562921955,0.55252498,0.552119903,0.555495544,0.556845801,0.552795031
mur12,0.505401026,0.500270051,0.539427491,0.556440724,0.551984877,0.551984877,0.554955442,0.551849851,0.551849851,0.556710775,0.558061032,1,0.549149338,0.559951391,0.559411288,0.556980826,0.548744261,0.557520929,0.564812314,0.549689441,0.556035647,0.557385903,0.556170672,0.558601134,0.560761545,0.55873616,0.556845801,0.556170672,0.567917904,0.553470159,0.559411288,0.562921955
mur13,0.500405077,0.502295436,0.551444775,0.544693492,0.549959492,0.546988928,0.548339184,0.539832568,0.558196057,0.552795031,0.553875236,0.549149338,1,0.544153389,0.554955442,0.560086416,0.551849851,0.544963543,0.545503646,0.554145288,0.561031596,0.557250878,0.548744261,0.555225493,0.54847421,0.561301647,0.54536862,0.563327032,0.547529031,0.550904672,0.554415339,0.543073184
mur14,0.510396975,0.506346206,0.565217391,0.558466109,0.561031596,0.563192006,0.550499595,0.562246827,0.557115852,0.557926006,0.555765595,0.559951391,0.544153389,1,0.548744261,0.557655955,0.559411288,0.543883338,0.556575749,0.556305698,0.557520929,0.549149338,0.556035647,0.562246827,0.561706724,0.554010262,0.557250878,0.565487443,0.558871186,0.566567648,0.56278693,0.567647853
mur15,0.500405077,0.502835539,0.560626519,0.553065082,0.562921955,0.555090467,0.559411288,0.55468539,0.564137186,0.573859033,0.563867135,0.559411288,0.554955442,0.548744261,1,0.568458007,0.556710775,0.555765595,0.558466109,0.558196057,0.552119903,0.562111801,0.550094518,0.561706724,0.563327032,0.558061032,0.560761545,0.561436673,0.55779098,0.563056981,0.551984877,0.559276262
mur16,0.499864974,0.49068323,0.562246827,0.559276262,0.553200108,0.560491493,0.557250878,0.560086416,0.555495544,0.554415339,0.548744261,0.556980826,0.560086416,0.557655955,0.568458007,1,0.556440724,0.549554415,0.551984877,0.557385903,0.551039698,0.5515798,0.561166622,0.56494734,0.553065082,0.550499595,0.563462058,0.572238725,0.562381853,0.551174723,0.563056981,0.555765595
mur17,0.49783959,0.51242236,0.549149338,0.556710775,0.556035647,0.564137186,0.551984877,0.551039698,0.555360518,0.548339184,0.548879287,0.548744261,0.551849851,0.559411288,0.556710775,0.556440724,1,0.556710775,0.551849851,0.546448825,0.55873616,0.559546314,0.556170672,0.546178774,0.559681339,0.561706724,0.566567648,0.555090467,0.54442344,0.553200108,0.548609236,0.546178774
mur18,0.506346206,0.496354307,0.560626519,0.563327032,0.565622468,0.552119903,0.546718877,0.561436673,0.545233594,0.559816365,0.555765595,0.557520929,0.544963543,0.543883338,0.555765595,0.549554415,0.556710775,1,0.551714826,0.557926006,0.562921955,0.561301647,0.550094518,0.557385903,0.574399136,0.556170672,0.561301647,0.550364569,0.550499595,0.559816365,0.547394005,0.555495544
mur19,0.506616257,0.50310559,0.549824467,0.555765595,0.549149338,0.546178774,0.566972725,0.564137186,0.560626519,0.564137186,0.555495544,0.564812314,0.545503646,0.556575749,0.558466109,0.551984877,0.551849851,0.551714826,1,0.56089657,0.558871186,0.552119903,0.555765595,0.555765595,0.555225493,0.558871186,0.552389954,0.564137186,0.557250878,0.561976776,0.554415339,0.559546314
mur20,0.502835539,0.499864974,0.549824467,0.557385903,0.553470159,0.55563057,0.544288415,0.551714826,0.552795031,0.564677289,0.554955442,0.549689441,0.554145288,0.556305698,0.558196057,0.557385903,0.546448825,0.557926006,0.56089657,1,0.556710775,0.549959492,0.56278693,0.558196057,0.566567648,0.546718877,0.548879287,0.554955442,0.556170672,0.557115852,0.560356468,0.557115852
mur21,0.484607075,0.500810154,0.549149338,0.545098569,0.549824467,0.566567648,0.555495544,0.555090467,0.561301647,0.55779098,0.555090467,0.556035647,0.561031596,0.557520929,0.552119903,0.551039698,0.55873616,0.562921955,0.558871186,0.556710775,1,0.560086416,0.555900621,0.549959492,0.569133135,0.561976776,0.559276262,0.547799082,0.553605185,0.576154469,0.545098569,0.55779098
mur22,0.491628409,0.512692412,0.565352417,0.55779098,0.550364569,0.563056981,0.551444775,0.552119903,0.556980826,0.557520929,0.551309749,0.557385903,0.557250878,0.549149338,0.562111801,0.5515798,0.559546314,0.561301647,0.552119903,0.549959492,0.560086416,1,0.558061032,0.557520929,0.554820416,0.569538212,0.556305698,0.554280313,0.556575749,0.562111801,0.556170672,0.560221442
mur23,0.50715636,0.511747232,0.55468539,0.551984877,0.555090467,0.557250878,0.55563057,0.55468539,0.559816365,0.551174723,0.556575749,0.556170672,0.548744261,0.556035647,0.550094518,0.561166622,0.556170672,0.550094518,0.555765595,0.56278693,0.555900621,0.558061032,1,0.553065082,0.565487443,0.559141237,0.55779098,0.553065082,0.552930057,0.551174723,0.559276262,0.55873616
mur24,0.492033486,0.496624359,0.555225493,0.564407237,0.551309749,0.556980826,0.553740211,0.547123954,0.552795031,0.565757494,0.54847421,0.558601134,0.555225493,0.562246827,0.561706724,0.56494734,0.546178774,0.557385903,0.555765595,0.558196057,0.549959492,0.557520929,0.553065082,1,0.560356468,0.553470159,0.546988928,0.550634621,0.554010262,0.56710775,0.554955442,0.542803133
mur25,0.503915744,0.504455847,0.558466109,0.558466109,0.562651904,0.544018363,0.554820416,0.561976776,0.56089657,0.566837699,0.553065082,0.560761545,0.54847421,0.561706724,0.563327032,0.553065082,0.559681339,0.574399136,0.555225493,0.566567648,0.569133135,0.554820416,0.565487443,0.560356468,1,0.560221442,0.564272212,0.558466109,0.570483392,0.549824467,0.554145288,0.558466109
mur26,0.505941129,0.495409128,0.552660005,0.557520929,0.553875236,0.56278693,0.563867135,0.555360518,0.562111801,0.553200108,0.547258979,0.55873616,0.561301647,0.554010262,0.558061032,0.550499595,0.561706724,0.556170672,0.558871186,0.546718877,0.561976776,0.569538212,0.559141237,0.553470159,0.560221442,1,0.557385903,0.548879287,0.54847421,0.562381853,0.554550365,0.561031596
mur27,0.503240616,0.496759384,0.547529031,0.562381853,0.547394005,0.556035647,0.553335134,0.552660005,0.556710775,0.555090467,0.562921955,0.556845801,0.54536862,0.557250878,0.560761545,0.563462058,0.566567648,0.561301647,0.552389954,0.548879287,0.559276262,0.556305698,0.55779098,0.546988928,0.564272212,0.557385903,1,0.555900621,0.569808264,0.549689441,0.551309749,0.565352417
mur28,0.488792871,0.512557386,0.556575749,0.562246827,0.556980826,0.552119903,0.561031596,0.547394005,0.554145288,0.569268161,0.55252498,0.556170672,0.563327032,0.565487443,0.561436673,0.572238725,0.555090467,0.550364569,0.564137186,0.554955442,0.547799082,0.554280313,0.553065082,0.550634621,0.558466109,0.548879287,0.555900621,1,0.556170672,0.547394005,0.559546314,0.555765595
mur29,0.511342155,0.505941129,0.549149338,0.538617337,0.564407237,0.555225493,0.555765595,0.549689441,0.546178774,0.545638671,0.552119903,0.567917904,0.547529031,0.558871186,0.55779098,0.562381853,0.54442344,0.550499595,0.557250878,0.556170672,0.553605185,0.556575749,0.552930057,0.554010262,0.570483392,0.54847421,0.569808264,0.556170672,1,0.564542263,0.559411288,0.566162571
mur30,0.503915744,0.497974615,0.552254928,0.552254928,0.56589252,0.551039698,0.553740211,0.561166622,0.545773697,0.564677289,0.555495544,0.553470159,0.550904672,0.566567648,0.563056981,0.551174723,0.553200108,0.559816365,0.561976776,0.557115852,0.576154469,0.562111801,0.551174723,0.56710775,0.549824467,0.562381853,0.549689441,0.547394005,0.564542263,1,0.550904672,0.551174723
mur31,0.499594923,0.519848771,0.560356468,0.560086416,0.572373751,0.554820416,0.558331083,0.554145288,0.546853902,0.554955442,0.556845801,0.559411288,0.554415339,0.56278693,0.551984877,0.563056981,0.548609236,0.547394005,0.554415339,0.560356468,0.545098569,0.556170672,0.559276262,0.554955442,0.554145288,0.554550365,0.551309749,0.559546314,0.559411288,0.550904672,1,0.562516878
mur32,0.491223332,0.511747232,0.550364569,0.553605185,0.54941939,0.556170672,0.556710775,0.565757494,0.555225493,0.553065082,0.552795031,0.562921955,0.543073184,0.567647853,0.559276262,0.555765595,0.546178774,0.555495544,0.559546314,0.557115852,0.55779098,0.560221442,0.55873616,0.542803133,0.558466109,0.561031596,0.565352417,0.555765595,0.566162571,0.551174723,0.562516878,1
